idx,title,rank_99,rank_85,rank_50,rank_by_inbound_links,pr_50,pr_85,pr_99,N_inbound_links,N_outbound_links,link
212,Wladimir Igorewitsch Bogatschow,532,645,694,833,0.0005421189475702749,0.0003115188022882525,0.0002251143795948189,3,4,/wiki/Wladimir_Igorewitsch_Bogatschow
749,Ruin des Spielers,663,646,682,833,0.0005472110633239127,0.00031043928077017927,0.00013024662341601275,3,5,/wiki/Ruin_des_Spielers
1109,Generator (Markow-Prozesse),655,647,678,567,0.0005490654374814672,0.00030975119048953857,0.00013574360274354338,6,13,/wiki/Generator_(Markow-Prozesse)
495,Satz von Halmos-Savage,625,648,657,567,0.0005572504563312639,0.0003089485607582015,0.00014700908152787885,6,7,/wiki/Satz_von_Halmos-Savage
342,Fast gleichmäßige Konvergenz,566,649,692,567,0.0005433388132585535,0.0003088146054105665,0.00019181280877255777,6,9,/wiki/Fast_gleichm%C3%A4%C3%9Fige_Konvergenz
781,Stutzung,530,650,925,724,0.000487007424786083,0.0003077461272348756,0.00022553278465446697,4,11,/wiki/Stutzung
1110,Green-Funktion (Stochastik),759,651,595,370,0.000581615379893442,0.0003072522422122226,8.7336860772772e-05,10,10,/wiki/Green-Funktion_(Stochastik)
682,Wurzel-Diffusionsprozess,634,652,695,499,0.0005420427560158632,0.0003056213620474962,0.00014390525886444556,7,13,/wiki/Wurzel-Diffusionsprozess
1231,Median-Test,762,653,544,301,0.0006038724003503851,0.000304831252845541,8.720392347932475e-05,13,14,/wiki/Median-Test
1064,Good-enough-Prinzip,755,654,611,641,0.000574407849344751,0.000303603341834707,8.996244642447653e-05,5,2,/wiki/Good-enough-Prinzip
93,KPZ-Fixpunkt,848,655,508,641,0.0006298803709444374,0.0003034075088776681,5.683699099620032e-05,5,11,/wiki/KPZ-Fixpunkt
167,Selbstmeidender Pfad,763,656,583,969,0.0005863590929931506,0.00030336018515697896,8.71451249336738e-05,2,2,/wiki/Selbstmeidender_Pfad
845,Trendmodell,795,657,612,724,0.00057435211499659,0.0003029015077534742,7.42781585382597e-05,4,5,/wiki/Trendmodell
1105,Ehrenfest-Modell,717,658,690,449,0.0005439519547211844,0.00030141733653457484,0.00010499422551083145,8,8,/wiki/Ehrenfest-Modell
1004,Lokal minimaler Schätzer,716,659,644,408,0.0005633168644289436,0.0003011672689721944,0.00010522460770375682,9,17,/wiki/Lokal_minimaler_Sch%C3%A4tzer
1043,Nullmodell,714,660,646,969,0.000562855581046873,0.00029999211300365283,0.00010587883140071862,2,2,/wiki/Nullmodell
330,Darstellungssatz von Riesz-Markow,510,661,877,724,0.0004981962480249593,0.00029980217833406464,0.0002483447669122141,4,9,/wiki/Darstellungssatz_von_Riesz-Markow
801,BV4.1,889,662,599,833,0.0005792794096692742,0.00029888500901085617,4.3976635755993e-05,3,4,/wiki/BV4.1
1033,Überdeckungswahrscheinlichkeit,715,663,633,449,0.0005668805336298249,0.0002986483596909486,0.00010539013974758582,8,5,/wiki/%C3%9Cberdeckungswahrscheinlichkeit
469,Gauß-Verlust,743,664,634,370,0.0005668221116853217,0.00029846475490487957,9.515495256501899e-05,10,16,/wiki/Gau%C3%9F-Verlust
545,Satz von Girsanow,551,665,858,567,0.000503448163349242,0.00029824076600155506,0.00021032078410724848,6,11,/wiki/Satz_von_Girsanow
368,Lebesguescher Inhalt,445,666,1089,1134,0.000443882086335829,0.0002979439560448961,0.00034277816212924527,1,14,/wiki/Lebesguescher_Inhalt
1003,Log-Likelihood-Funktion,691,667,704,408,0.0005393722580185231,0.00029774328789773457,0.0001184362951075335,9,13,/wiki/Log-Likelihood-Funktion
221,Francesco Cantelli,594,668,746,724,0.0005252020981131383,0.00029760823204552655,0.00017130035544569213,4,6,/wiki/Francesco_Cantelli
1060,Fehlerwahrscheinlichkeit 1. Art,726,669,710,641,0.0005360887302670472,0.00029732917825793867,0.00010105372530186514,5,16,/wiki/Fehlerwahrscheinlichkeit_1._Art
200,Luigi Accardi,957,670,596,969,0.0005808929128383809,0.00029626308577281675,2.9241776078043027e-05,2,4,/wiki/Luigi_Accardi
485,Parametrisches Modell (Statistik),721,671,653,449,0.000559529663535379,0.00029555700014423565,0.00010268284325938082,8,24,/wiki/Parametrisches_Modell_(Statistik)
1253,Durbin-Watson-Test,776,672,658,408,0.0005572050524308264,0.00029493285136004835,8.318389024953943e-05,9,5,/wiki/Durbin-Watson-Test
242,Emil Julius Gumbel,667,673,637,641,0.0005657478005866414,0.0002944586742024626,0.00012613547428956483,5,3,/wiki/Emil_Julius_Gumbel
158,Satz von Donsker,677,674,702,567,0.0005398610748505183,0.00029435413177947105,0.00012202593382117518,6,9,/wiki/Satz_von_Donsker
358,Isoperimetrische Ungleichung,708,675,567,641,0.0005929777933770115,0.00029412403656943497,0.00011010346020977796,5,7,/wiki/Isoperimetrische_Ungleichung
958,Radonmaß,521,676,882,724,0.0004969896717357198,0.00029373914475579465,0.00023320495289484515,4,9,/wiki/Radonma%C3%9F
799,Box-Cox-Transformation,757,677,677,833,0.0005493153952058284,0.0002931438586267699,8.814741723412723e-05,3,3,/wiki/Box-Cox-Transformation
681,Würfelschlange,565,678,856,969,0.000503698916545932,0.00029303591245936867,0.0001928293280941015,2,4,/wiki/W%C3%BCrfelschlange
238,Nina Gantert,593,679,743,969,0.0005257096063379944,0.0002929328438765374,0.00017177744287681613,2,6,/wiki/Nina_Gantert
97,Lage-Skalen-Familie,563,680,864,449,0.0005015871579708348,0.0002927290408042407,0.0001976712761711051,8,8,/wiki/Lage-Skalen-Familie
1075,Neyman-Pearson-Test,783,681,628,449,0.0005690447807113131,0.0002918721779306222,8.099743824612526e-05,8,15,/wiki/Neyman-Pearson-Test
672,Stochastisches Exponential,630,682,795,499,0.0005224268024095534,0.00029116745415876094,0.00014418510091193825,7,16,/wiki/Stochastisches_Exponential
80,Kendall-Notation,765,683,574,567,0.0005909590150964655,0.00029116681562929716,8.603123983053343e-05,6,6,/wiki/Kendall-Notation
723,Bayes-Klassifikator,578,684,831,833,0.0005116033754724965,0.0002905237690778125,0.00017839859143095482,3,9,/wiki/Bayes-Klassifikator
720,Ausfallwahrscheinlichkeit,921,685,540,641,0.0006073026497800663,0.0002903820667324972,3.6713414822310385e-05,5,5,/wiki/Ausfallwahrscheinlichkeit
719,Ausfallverlustquote,921,685,540,641,0.0006073026497800663,0.0002903820667324972,3.6713414822310385e-05,5,6,/wiki/Ausfallverlustquote
1259,Globaler F-Test,701,687,736,323,0.0005285716982025072,0.0002899141689089309,0.00011306706130136167,12,14,/wiki/Globaler_F-Test
166,Sekretärinnenproblem,697,688,638,641,0.0005656258383203729,0.0002896707638289923,0.00011384865708260247,5,9,/wiki/Sekret%C3%A4rinnenproblem
480,Neyman-Kriterium,650,689,715,499,0.000534839341801873,0.0002896501397354303,0.00013791688555705748,7,9,/wiki/Neyman-Kriterium
1223,Exakter Test nach Fisher,698,690,685,408,0.0005458004264211039,0.00028931995052707606,0.00011377299002936042,9,9,/wiki/Exakter_Test_nach_Fisher
1052,Binomialtest,753,691,676,408,0.0005509343572482397,0.0002890747881993283,9.017147003816487e-05,9,10,/wiki/Binomialtest
332,Δ-System (Maßtheorie),503,692,827,969,0.0005124990110324305,0.00028759279288675536,0.00025699996112191144,2,4,/wiki/%CE%94-System_(Ma%C3%9Ftheorie)
50,Fdd-Konvergenz,570,693,924,833,0.0004870322293073066,0.00028745373368222556,0.000189456893973711,3,11,/wiki/Fdd-Konvergenz
1022,Robuste Schätzverfahren,866,694,502,567,0.0006337637086294987,0.000287202703787243,5.180435168572844e-05,6,16,/wiki/Robuste_Sch%C3%A4tzverfahren
979,Bayes-Schätzer,610,695,742,449,0.0005267064875839599,0.000287073833412006,0.00015868691434982532,8,18,/wiki/Bayes-Sch%C3%A4tzer
447,Zylindrisches Maß,619,696,675,724,0.0005511236351294631,0.00028692461347673944,0.00015140944047768417,4,8,/wiki/Zylindrisches_Ma%C3%9F
574,Satz von Palm-Chintschin,568,697,906,724,0.0004920593474160092,0.0002868220679237083,0.0001900907813125295,4,7,/wiki/Satz_von_Palm-Chintschin
893,Stetige Zufallsvariable,537,698,911,567,0.0004914029172211615,0.0002864939900622066,0.00022236570999358912,6,50,/wiki/Stetige_Zufallsvariable
994,Intervallschätzer,646,699,725,449,0.0005310224138583277,0.00028606399392641847,0.00013873800116871412,8,18,/wiki/Intervallsch%C3%A4tzer
119,Multivariate Gammafunktion,599,700,687,833,0.0005449722348755308,0.00028601448261518747,0.00016678341528948362,3,2,/wiki/Multivariate_Gammafunktion
706,Ungleichung von Lévy,606,701,844,969,0.0005069764028454223,0.00028551627991210763,0.0001619999706397348,2,4,/wiki/Ungleichung_von_L%C3%A9vy
654,Rechtsstetiger Prozess,651,702,792,724,0.0005228696217494541,0.0002853338745489704,0.0001377822051375284,4,6,/wiki/Rechtsstetiger_Prozess
1143,Arcsin-Verteilung,579,703,885,567,0.0004964313042861591,0.000285102320267878,0.00017739283238663869,6,17,/wiki/Arcsin-Verteilung
208,Viacheslav Belavkin,897,704,571,969,0.0005916237128150963,0.0002847739959635498,4.278557878683018e-05,2,2,/wiki/Viacheslav_Belavkin
162,Satz von Itō-Nisio,682,705,812,641,0.000517359933999376,0.0002837333366993972,0.00012134719135903263,5,11,/wiki/Satz_von_It%C5%8D-Nisio
1035,Schätzung der Varianz der Grundgesamtheit,624,706,835,567,0.0005087101204546134,0.0002826721670765041,0.00014769857080478393,6,13,/wiki/Sch%C3%A4tzung_der_Varianz_der_Grundgesamtheit
1224,Friedman-Test (Statistik),733,707,703,370,0.0005394452533047858,0.0002823455398528957,9.852498413718178e-05,10,14,/wiki/Friedman-Test_(Statistik)
407,Satz von Ulam,549,708,878,833,0.0004979165721625435,0.00028225777304683656,0.0002121184493903863,3,6,/wiki/Satz_von_Ulam
858,Cornish-Fisher-Methode,612,709,875,833,0.0004984382759095522,0.0002821650748496934,0.00015582116523577067,3,8,/wiki/Cornish-Fisher-Methode
1206,Panjer-Verteilung,535,710,991,567,0.0004712942455425298,0.00028160774613445355,0.00022338664059514196,6,10,/wiki/Panjer-Verteilung
